,WKN,Basiswert,Untere Barriere,Obere Barriere,Bewertungstag,Geld Kurs,Brief Kurs,Spread,Merkmale,Ausübungsart,Emittent,Info
0,SQ8259,S&P 500,"3.000,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
1,SQ826B,S&P 500,"3.500,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
2,SQ828Q,EURO STOXX 50,"3.000,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
3,SV1W17,S&P 500,"2.400,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
4,SV1W2C,S&P 500,"2.600,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
5,SV1YND,EURO STOXX 50,"3.000,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
6,SV1YNE,EURO STOXX 50,"3.000,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
7,SV1YQY,S&P 500,"2.800,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
8,SV1YQ8,S&P 500,"3.200,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
9,SV1YQ6,S&P 500,"3.200,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
10,,,,,,,,,,,,
11,SV1YQ7,S&P 500,"3.200,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
12,SV1YQ3,S&P 500,"3.000,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
13,SV1YQX,S&P 500,"2.800,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
14,SV1YRC,S&P 500,"3.400,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
15,SV1YRD,S&P 500,"3.400,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
16,SV1YQ2,S&P 500,"3.000,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
17,SV13QA,S&P 500,"2.600,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
18,SV13QB,S&P 500,"2.600,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
19,SV13QT,EURO STOXX 50,"2.800,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
20,SV13QU,EURO STOXX 50,"2.800,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
21,SV2AEX,S&P 500,"3.000,00 Pkt.","5.000,00 Pkt.",18.08.2023,"9,900 EUR","0,000 EUR",–,,Europäisch,Société Générale,
22,SV2AFB,S&P 500,"2.800,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
23,SV2AFA,S&P 500,"3.600,00 Pkt.","5.000,00 Pkt.",18.08.2023,"9,900 EUR","0,000 EUR",–,,Europäisch,Société Générale,
24,SV2J3L,S&P 500,"3.800,00 Pkt.","4.800,00 Pkt.",18.08.2023,"9,900 EUR","0,000 EUR",–,,Europäisch,Société Générale,
25,SV2J5G,EURO STOXX 50,"2.800,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
26,SV20ZL,S&P 500,"3.200,00 Pkt.","5.200,00 Pkt.",18.08.2023,"9,900 EUR","0,000 EUR",–,,Europäisch,Société Générale,
27,SV20ZM,S&P 500,"3.400,00 Pkt.","5.200,00 Pkt.",18.08.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
28,SV20ZS,S&P 500,"3.400,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
29,SV20ZQ,S&P 500,"3.000,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
30,SV20ZR,S&P 500,"3.200,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
31,SV23Y9,Prosus,"40,000 EUR","90,000 EUR",15.09.2023,"9,900 EUR","10,000 EUR","1,000 %",,Europäisch,Société Générale,
32,SV23ZA,Prosus,"40,000 EUR","100,000 EUR",15.09.2023,"9,900 EUR","10,000 EUR","1,000 %",,Europäisch,Société Générale,
33,SV4GPY,S&P 500,"4.000,00 Pkt.","5.000,00 Pkt.",18.08.2023,"9,900 EUR","0,000 EUR",–,,Europäisch,Société Générale,
34,SV6GL4,S&P 500,"3.000,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
35,SV6GL8,S&P 500,"3.200,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,880 EUR","9,980 EUR","1,00 %",,Europäisch,Société Générale,
36,SV9HHE,S&P 500,"3.200,00 Pkt.","5.000,00 Pkt.",17.11.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
37,SV1YNG,EURO STOXX 50,"3.200,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,890 EUR","9,990 EUR","1,00 %",,Europäisch,Société Générale,
